time-date,ecg
09:30:00.000 31/01/2003, -0.006
09:30:00.008 31/01/2003, -0.012
09:30:00.016 31/01/2003,  0.006
09:30:00.023 31/01/2003,  0.000
09:30:00.031 31/01/2003, -0.012
09:30:00.039 31/01/2003,  0.000
09:30:00.047 31/01/2003, -0.012
09:30:00.055 31/01/2003, -0.012
09:30:00.063 31/01/2003,  0.000
09:30:00.070 31/01/2003, -0.024
09:30:00.078 31/01/2003, -0.006
09:30:00.086 31/01/2003,  0.018
09:30:00.094 31/01/2003, -0.012
09:30:00.102 31/01/2003,  0.000
09:30:00.109 31/01/2003, -0.006
09:30:00.117 31/01/2003, -0.012
09:30:00.125 31/01/2003, -0.006
09:30:00.133 31/01/2003, -0.012
09:30:00.141 31/01/2003, -0.018
09:30:00.148 31/01/2003,  0.012
09:30:00.156 31/01/2003,  0.000
09:30:00.164 31/01/2003, -0.012
09:30:00.172 31/01/2003,  0.000
09:30:00.180 31/01/2003, -0.012
09:30:00.188 31/01/2003, -0.006
09:30:00.195 31/01/2003, -0.006
09:30:00.203 31/01/2003, -0.030
09:30:00.211 31/01/2003,  0.000
09:30:00.219 31/01/2003,  0.000
09:30:00.227 31/01/2003,  0.000
09:30:00.234 31/01/2003, -0.006
09:30:00.242 31/01/2003, -0.012
09:30:00.250 31/01/2003, -0.012
09:30:00.258 31/01/2003, -0.006
09:30:00.266 31/01/2003, -0.018
09:30:00.273 31/01/2003, -0.012
09:30:00.281 31/01/2003,  0.000
09:30:00.289 31/01/2003,  0.000
09:30:00.297 31/01/2003, -0.006
09:30:00.305 31/01/2003, -0.012
09:30:00.313 31/01/2003, -0.006
09:30:00.320 31/01/2003, -0.006
09:30:00.328 31/01/2003, -0.018
09:30:00.336 31/01/2003, -0.018
09:30:00.344 31/01/2003, -0.006
09:30:00.352 31/01/2003,  0.000
09:30:00.359 31/01/2003, -0.006
09:30:00.367 31/01/2003, -0.012
09:30:00.375 31/01/2003, -0.006
09:30:00.383 31/01/2003, -0.012
09:30:00.391 31/01/2003, -0.012
09:30:00.398 31/01/2003, -0.018
09:30:00.406 31/01/2003, -0.018
09:30:00.414 31/01/2003, -0.006
09:30:00.422 31/01/2003,  0.006
09:30:00.430 31/01/2003, -0.012
09:30:00.438 31/01/2003, -0.006
09:30:00.445 31/01/2003, -0.012
09:30:00.453 31/01/2003, -0.018
09:30:00.461 31/01/2003, -0.018
09:30:00.469 31/01/2003, -0.018
09:30:00.477 31/01/2003, -0.018
09:30:00.484 31/01/2003,  0.006
09:30:00.492 31/01/2003,  0.000
09:30:00.500 31/01/2003, -0.018
09:30:00.508 31/01/2003, -0.006
09:30:00.516 31/01/2003, -0.012
09:30:00.523 31/01/2003, -0.018
09:30:00.531 31/01/2003, -0.012
09:30:00.539 31/01/2003, -0.024
09:30:00.547 31/01/2003, -0.006
09:30:00.555 31/01/2003,  0.000
09:30:00.563 31/01/2003, -0.024
09:30:00.570 31/01/2003, -0.006
09:30:00.578 31/01/2003, -0.012
09:30:00.586 31/01/2003, -0.018
09:30:00.594 31/01/2003, -0.018
09:30:00.602 31/01/2003, -0.024
09:30:00.609 31/01/2003, -0.018
09:30:00.617 31/01/2003,  0.012
09:30:00.625 31/01/2003, -0.018
09:30:00.633 31/01/2003, -0.018
09:30:00.641 31/01/2003, -0.012
09:30:00.648 31/01/2003, -0.018
09:30:00.656 31/01/2003, -0.018
09:30:00.664 31/01/2003, -0.012
09:30:00.672 31/01/2003, -0.030
09:30:00.680 31/01/2003,  0.000
09:30:00.688 31/01/2003, -0.006
09:30:00.695 31/01/2003, -0.018
09:30:00.703 31/01/2003, -0.012
09:30:00.711 31/01/2003, -0.018
09:30:00.719 31/01/2003, -0.024
09:30:00.727 31/01/2003, -0.006
09:30:00.734 31/01/2003, -0.024
09:30:00.742 31/01/2003, -0.018
09:30:00.750 31/01/2003,  0.006
09:30:00.758 31/01/2003, -0.018
09:30:00.766 31/01/2003, -0.012
09:30:00.773 31/01/2003, -0.012
09:30:00.781 31/01/2003, -0.018
09:30:00.789 31/01/2003, -0.018
09:30:00.797 31/01/2003, -0.018
09:30:00.805 31/01/2003, -0.030
09:30:00.813 31/01/2003,  0.012
09:30:00.820 31/01/2003, -0.012
09:30:00.828 31/01/2003, -0.018
09:30:00.836 31/01/2003, -0.006
09:30:00.844 31/01/2003, -0.018
09:30:00.852 31/01/2003, -0.018
09:30:00.859 31/01/2003, -0.012
09:30:00.867 31/01/2003, -0.024
09:30:00.875 31/01/2003, -0.006
09:30:00.883 31/01/2003,  0.000
09:30:00.891 31/01/2003, -0.024
09:30:00.898 31/01/2003, -0.006
09:30:00.906 31/01/2003, -0.018
09:30:00.914 31/01/2003, -0.018
09:30:00.922 31/01/2003, -0.012
09:30:00.930 31/01/2003, -0.024
09:30:00.938 31/01/2003, -0.018
09:30:00.945 31/01/2003,  0.012
09:30:00.953 31/01/2003, -0.012
09:30:00.961 31/01/2003, -0.012
09:30:00.969 31/01/2003, -0.012
09:30:00.977 31/01/2003, -0.018
09:30:00.984 31/01/2003, -0.012
09:30:00.992 31/01/2003, -0.018
09:30:01.000 31/01/2003, -0.030
09:30:01.008 31/01/2003,  0.000
09:30:01.016 31/01/2003, -0.006
09:30:01.023 31/01/2003, -0.018
09:30:01.031 31/01/2003, -0.006
09:30:01.039 31/01/2003, -0.018
09:30:01.047 31/01/2003, -0.018
09:30:01.055 31/01/2003, -0.012
09:30:01.063 31/01/2003, -0.024
09:30:01.070 31/01/2003, -0.006
09:30:01.078 31/01/2003,  0.000
09:30:01.086 31/01/2003, -0.024
09:30:01.094 31/01/2003, -0.006
09:30:01.102 31/01/2003, -0.012
09:30:01.109 31/01/2003, -0.018
09:30:01.117 31/01/2003, -0.018
09:30:01.125 31/01/2003, -0.018
09:30:01.133 31/01/2003, -0.018
09:30:01.141 31/01/2003,  0.000
09:30:01.148 31/01/2003, -0.012
09:30:01.156 31/01/2003, -0.012
09:30:01.164 31/01/2003, -0.012
09:30:01.172 31/01/2003, -0.024
09:30:01.180 31/01/2003, -0.018
09:30:01.188 31/01/2003, -0.018
09:30:01.195 31/01/2003, -0.024
09:30:01.203 31/01/2003,  0.000
09:30:01.211 31/01/2003, -0.012
09:30:01.219 31/01/2003, -0.018
09:30:01.227 31/01/2003, -0.012
